Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6505 MVC = 0.2748 AVO = 0.2780
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.578641419
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
0.000000000		19.059240714	9.603174931	-2.489717171	-2.489717171	-2.489717171	-2.489717171	3.117257827	0.000000000
0.000999201		19.078566706	9.637047940	-2.478059669	-2.478059669	-2.478059669	-2.478059669	3.133895995	0.000000000
0.001998401		19.099596097	9.670666919	-2.466868786	-2.466868786	-2.466868786	-2.466868786	3.150464646	0.000000000
0.002997602		19.122288075	9.704022164	-2.456140647	-2.456140647	-2.456140647	-2.456140647	3.166957942	0.000000000
0.003996803		19.146600080	9.737104237	-2.445871055	-2.445871055	-2.445871055	-2.445871055	3.183370016	0.000000000
0.004996003		19.172487540	9.769903913	-2.436055442	-2.436055442	-2.436055442	-2.436055442	3.199694948	0.000000000
0.005995204		19.199903909	9.802411902	-2.426688883	-2.426688883	-2.426688883	-2.426688883	3.215926713	0.000000000
0.006994404		19.228799315	9.834618030	-2.417765857	-2.417765857	-2.417765857	-2.417765857	3.232058986	0.000000000
0.007993605		19.259121978	9.866512343	-2.409280483	-2.409280483	-2.409280483	-2.409280483	3.248085399	0.000000000
0.008992806		19.290815790	9.898083337	-2.401226106	-2.401226106	-2.401226106	-2.401226106	3.263999117	0.000000000
0.009992006		19.323821684	9.929318976	-2.393595532	-2.393595532	-2.393595532	-2.393595532	3.279793088	0.000000000
0.010991207		19.358076089	9.960205339	-2.386380752	-2.386380752	-2.386380752	-2.386380752	3.295459737	0.000000000
0.011990408		19.393504262	9.990726057	-2.379571898	-2.379571898	-2.379571898	-2.379571898	3.310990454	0.000000000
0.012989608		19.430046941	10.020865668	-2.373161424	-2.373161424	-2.373161424	-2.373161424	3.326377819	0.000000000
0.013988809		19.467619690	10.050603393	-2.367137649	-2.367137649	-2.367137649	-2.367137649	3.341612081	0.000000000
0.014988010		19.506139627	10.079916847	-2.361489063	-2.361489063	-2.361489063	-2.361489063	3.356683371	0.000000000
0.015987210		19.545517701	10.108780691	-2.356203028	-2.356203028	-2.356203028	-2.356203028	3.371581046	0.000000000
0.016986411		19.585664527	10.137166682	-2.351266635	-2.351266635	-2.351266635	-2.351266635	3.386294112	0.000000000
0.017985612		19.626484736	10.165043280	-2.346665874	-2.346665874	-2.346665874	-2.346665874	3.400810753	0.000000000
0.018984812		19.667879332	10.192375289	-2.342385994	-2.342385994	-2.342385994	-2.342385994	3.415118441	0.000000000
0.019984013		19.709748847	10.219124129	-2.338411963	-2.338411963	-2.338411963	-2.338411963	3.429204187	0.000000000
0.020983213		19.751992133	10.245247531	-2.334728294	-2.334728294	-2.334728294	-2.334728294	3.443054415	0.000000000
0.021982414		19.794507212	10.270699372	-2.331319143	-2.331319143	-2.331319143	-2.331319143	3.456655002	0.000000000
0.022981615		19.837195773	10.295429887	-2.328169054	-2.328169054	-2.328169054	-2.328169054	3.469991574	0.000000000
0.023980815		19.879958047	10.319385967	-2.325262086	-2.325262086	-2.325262086	-2.325262086	3.483049278	0.000000000
0.024980016		19.922697361	10.342510605	-2.322582608	-2.322582608	-2.322582608	-2.322582608	3.495812922	0.000000000
0.025979217		19.965322330	10.364744316	-2.320115561	-2.320115561	-2.320115561	-2.320115561	3.508267401	0.000000000
0.026978417		20.007742676	10.386024407	-2.317845903	-2.317845903	-2.317845903	-2.317845903	3.520397245	0.000000000
0.027977618		20.049873160	10.406285239	-2.315759136	-2.315759136	-2.315759136	-2.315759136	3.532186976	0.000000000
0.028976819		20.091634610	10.425460704	-2.313841552	-2.313841552	-2.313841552	-2.313841552	3.543621518	0.000000000
0.029976019		20.132951035	10.443482218	-2.312079708	-2.312079708	-2.312079708	-2.312079708	3.554685737	0.000000000
