Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6505 MVC = 0.2748
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.578641419
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
0.000000000		-2.489717171	-2.489717171	-2.489717171	-2.489717171	-2.489717171	-2.489717171	-2.489717171	0.000000000
0.000999201		-2.478059669	-2.478059669	-2.478059669	-2.478059669	-2.478059669	-2.478059669	-2.478059669	0.000000000
0.001998401		-2.466868786	-2.466868786	-2.466868786	-2.466868786	-2.466868786	-2.466868786	-2.466868786	0.000000000
0.002997602		-2.456140647	-2.456140647	-2.456140647	-2.456140647	-2.456140647	-2.456140647	-2.456140647	0.000000000
0.003996803		-2.445871055	-2.445871055	-2.445871055	-2.445871055	-2.445871055	-2.445871055	-2.445871055	0.000000000
0.004996003		-2.436055442	-2.436055442	-2.436055442	-2.436055442	-2.436055442	-2.436055442	-2.436055442	0.000000000
0.005995204		-2.426688883	-2.426688883	-2.426688883	-2.426688883	-2.426688883	-2.426688883	-2.426688883	0.000000000
0.006994404		-2.417765857	-2.417765857	-2.417765857	-2.417765857	-2.417765857	-2.417765857	-2.417765857	0.000000000
0.007993605		-2.409280483	-2.409280483	-2.409280483	-2.409280483	-2.409280483	-2.409280483	-2.409280483	0.000000000
0.008992806		-2.401226106	-2.401226106	-2.401226106	-2.401226106	-2.401226106	-2.401226106	-2.401226106	0.000000000
0.009992006		-2.393595532	-2.393595532	-2.393595532	-2.393595532	-2.393595532	-2.393595532	-2.393595532	0.000000000
0.010991207		-2.386380752	-2.386380752	-2.386380752	-2.386380752	-2.386380752	-2.386380752	-2.386380752	0.000000000
0.011990408		-2.379571898	-2.379571898	-2.379571898	-2.379571898	-2.379571898	-2.379571898	-2.379571898	0.000000000
0.012989608		-2.373161424	-2.373161424	-2.373161424	-2.373161424	-2.373161424	-2.373161424	-2.373161424	0.000000000
0.013988809		-2.367137649	-2.367137649	-2.367137649	-2.367137649	-2.367137649	-2.367137649	-2.367137649	0.000000000
0.014988010		-2.361489063	-2.361489063	-2.361489063	-2.361489063	-2.361489063	-2.361489063	-2.361489063	0.000000000
0.015987210		-2.356203028	-2.356203028	-2.356203028	-2.356203028	-2.356203028	-2.356203028	-2.356203028	0.000000000
0.016986411		-2.351266635	-2.351266635	-2.351266635	-2.351266635	-2.351266635	-2.351266635	-2.351266635	0.000000000
0.017985612		-2.346665874	-2.346665874	-2.346665874	-2.346665874	-2.346665874	-2.346665874	-2.346665874	0.000000000
0.018984812		-2.342385994	-2.342385994	-2.342385994	-2.342385994	-2.342385994	-2.342385994	-2.342385994	0.000000000
0.019984013		-2.338411963	-2.338411963	-2.338411963	-2.338411963	-2.338411963	-2.338411963	-2.338411963	0.000000000
0.020983213		-2.334728294	-2.334728294	-2.334728294	-2.334728294	-2.334728294	-2.334728294	-2.334728294	0.000000000
0.021982414		-2.331319143	-2.331319143	-2.331319143	-2.331319143	-2.331319143	-2.331319143	-2.331319143	0.000000000
0.022981615		-2.328169054	-2.328169054	-2.328169054	-2.328169054	-2.328169054	-2.328169054	-2.328169054	0.000000000
0.023980815		-2.325262086	-2.325262086	-2.325262086	-2.325262086	-2.325262086	-2.325262086	-2.325262086	0.000000000
0.024980016		-2.322582608	-2.322582608	-2.322582608	-2.322582608	-2.322582608	-2.322582608	-2.322582608	0.000000000
0.025979217		-2.320115561	-2.320115561	-2.320115561	-2.320115561	-2.320115561	-2.320115561	-2.320115561	0.000000000
0.026978417		-2.317845903	-2.317845903	-2.317845903	-2.317845903	-2.317845903	-2.317845903	-2.317845903	0.000000000
0.027977618		-2.315759136	-2.315759136	-2.315759136	-2.315759136	-2.315759136	-2.315759136	-2.315759136	0.000000000
0.028976819		-2.313841552	-2.313841552	-2.313841552	-2.313841552	-2.313841552	-2.313841552	-2.313841552	0.000000000
0.029976019		-2.312079708	-2.312079708	-2.312079708	-2.312079708	-2.312079708	-2.312079708	-2.312079708	0.000000000
0.030975220		-2.310460959	-2.310460959	-2.310460959	-2.310460959	-2.310460959	-2.310460959	-2.310460959	0.000000000
0.031974420		-2.308973380	-2.308973380	-2.308973380	-2.308973380	-2.308973380	-2.308973380	-2.308973380	0.000000000
0.032973621		-2.307605655	-2.307605655	-2.307605655	-2.307605655	-2.307605655	-2.307605655	-2.307605655	0.000000000
0.033972822		-2.306347217	-2.306347217	-2.306347217	-2.306347217	-2.306347217	-2.306347217	-2.306347217	0.000000000
0.034972022		-2.305188209	-2.305188209	-2.305188209	-2.305188209	-2.305188209	-2.305188209	-2.305188209	0.000000000
0.035971223		-2.304119413	-2.304119413	-2.304119413	-2.304119413	-2.304119413	-2.304119413	-2.304119413	0.000000000
0.036970424		-2.303132337	-2.303132337	-2.303132337	-2.303132337	-2.303132337	-2.303132337	-2.303132337	0.000000000
