Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.6545 MVC = 0.2728 AVO = 0.3360
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.586034402
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.000000000		3.009340816	1.984134274	0.459313103	-0.274085878	1.294675579	0.000000000
0.000999201		3.033257330	2.007900166	0.482870848	-0.250619529	1.318352204	0.000000000
0.001998401		3.056793916	2.031287301	0.506051097	-0.227530334	1.341650495	0.000000000
0.002997602		3.079945750	2.054290978	0.528849347	-0.204822691	1.364565846	0.000000000
0.003996803		3.102708338	2.076906820	0.551261411	-0.182500689	1.387093970	0.000000000
0.004996003		3.125077470	2.099130732	0.573283375	-0.160568148	1.409230857	0.000000000
0.005995204		3.147049153	2.120958830	0.594911531	-0.139028684	1.430972708	0.000000000
0.006994404		3.168619779	2.142387608	0.616142540	-0.117885549	1.452316094	0.000000000
0.007993605		3.189786467	2.163414282	0.636973768	-0.097141297	1.473258305	0.000000000
0.008992806		3.210544961	2.184034700	0.657401238	-0.076799816	1.493795271	0.000000000
0.009992006		3.230893141	2.204246827	0.677423046	-0.056862938	1.513925019	0.000000000
0.010991207		3.250830508	2.224050226	0.697038863	-0.037330936	1.533647165	0.000000000
0.011990408		3.270349363	2.243437339	0.716241351	-0.018211036	1.552954254	0.000000000
0.012989608		3.289453724	2.262412197	0.735034568	0.000500839	1.571850332	0.000000000
0.013988809		3.308135864	2.280967208	0.753411138	0.018797423	1.590327908	0.000000000
0.014988010		3.326398381	2.299104997	0.771373731	0.036681413	1.608389631	0.000000000
0.015987210		3.344239061	2.316823424	0.788920330	0.054150857	1.626033418	0.000000000
0.016986411		3.361656432	2.334121083	0.806049636	0.071204512	1.643257916	0.000000000
0.017985612		3.378649406	2.350996949	0.822760723	0.087841506	1.660062146	0.000000000
0.018984812		3.395217276	2.367450366	0.839053028	0.104061322	1.676445498	0.000000000
0.019984013		3.411359381	2.383480729	0.854926032	0.119863490	1.692407408	0.000000000
0.020983213		3.427075337	2.399087703	0.870379482	0.135247802	1.707947581	0.000000000
