Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	     CYAN    	   YELLOW    	  GLOBAL     	ECG : 
0.000000000		-5.036327361	-4.569078658	-4.972846636	-6.147874169	-6.042314368	-5.904098847	-5.445423340	0.000000000
0.000999201		-5.009981409	-4.543388087	-4.946620149	-6.107793361	-6.006065000	-5.872023931	-5.414311989	0.000000000
0.001998401		-4.983951656	-4.517990450	-4.920705711	-6.068554351	-5.970494860	-5.840466046	-5.383693846	0.000000000
0.002997602		-4.958246380	-4.492894842	-4.895111744	-6.030141798	-5.935596998	-5.809425796	-5.353569593	0.000000000
0.003996803		-4.932873461	-4.468109931	-4.869846266	-5.992541382	-5.901364927	-5.778903768	-5.323939956	0.000000000
0.004996003		-4.907840446	-4.443644032	-4.844916959	-5.955739380	-5.867792400	-5.748900470	-5.294805614	0.000000000
0.005995204		-4.883154493	-4.419505046	-4.820331112	-5.919722925	-5.834873534	-5.719416359	-5.266167245	0.000000000
0.006994404		-4.858822347	-4.395700432	-4.796095594	-5.884480181	-5.802602895	-5.690451844	-5.238025549	0.000000000
0.007993605		-4.834850602	-4.372237491	-4.772217126	-5.849999018	-5.770974856	-5.662007218	-5.210381052	0.000000000
0.008992806		-4.811245294	-4.349122925	-4.748701859	-5.816268791	-5.739984427	-5.634082704	-5.183234333	0.000000000
0.009992006		-4.788012122	-4.326363087	-4.725555606	-5.783279356	-5.709626789	-5.606678425	-5.156585898	0.000000000
0.010991207		-4.765156793	-4.303964323	-4.702784188	-5.751020418	-5.679897078	-5.579794527	-5.130436221	0.000000000
0.011990408		-4.742684173	-4.281932104	-4.680392576	-5.719482896	-5.650790782	-5.553430815	-5.104785558	0.000000000
0.012989608		-4.720599326	-4.260272095	-4.658385938	-5.688657455	-5.622303366	-5.527587238	-5.079634236	0.000000000
0.013988809		-4.698896319	-4.238978808	-4.636758422	-5.658526054	-5.594420888	-5.502253661	-5.054972359	0.000000000
0.014988010		-4.677598858	-4.218076742	-4.615533869	-5.629098465	-5.567157278	-5.477448182	-5.030818899	0.000000000
0.015987210		-4.656704721	-4.197564137	-4.594710138	-5.600360884	-5.540502570	-5.453164457	-5.007167818	0.000000000
0.016986411		-4.636217390	-4.177444991	-4.574290802	-5.572305483	-5.514452526	-5.429401729	-4.984018820	0.000000000
0.017985612		-4.616136511	-4.157719410	-4.554275589	-5.544921484	-5.488999684	-5.406155750	-4.961368072	0.000000000
0.018984812		-4.596456029	-4.138381725	-4.534658511	-5.518193498	-5.464131628	-5.383416999	-4.939206398	0.000000000
0.019984013		-4.577200558	-4.119457266	-4.515464304	-5.492133919	-5.439864366	-5.361205147	-4.917554260	0.000000000
0.020983213		-4.558354129	-4.100930311	-4.496677046	-5.466719337	-5.416176905	-5.339501544	-4.896393212	0.000000000
0.021982414		-4.539924185	-4.082808805	-4.478304268	-5.441947595	-5.393069970	-5.318309823	-4.875727441	0.000000000
0.022981615		-4.521914207	-4.065096667	-4.460349525	-5.417813530	-5.370540972	-5.297630023	-4.855557487	0.000000000
0.023980815		-4.504324086	-4.047794184	-4.442812778	-5.394308959	-5.348584158	-5.277458856	-4.835880503	0.000000000
0.024980016		-4.487158515	-4.030906479	-4.425698795	-5.371430409	-5.327198449	-5.257797715	-4.816698394	0.000000000
0.025979217		-4.470415358	-4.014431763	-4.409005501	-5.349168534	-5.306376641	-5.238641597	-4.798006566	0.000000000
0.026978417		-4.454096091	-3.998371891	-4.392734438	-5.327517558	-5.286115071	-5.219989036	-4.779804014	0.000000000
0.027977618		-4.438201353	-3.982727860	-4.376886309	-5.306471213	-5.266409473	-5.201837861	-4.762089012	0.000000000
0.028976819		-4.422731450	-3.967500317	-4.361461478	-5.286023190	-5.247255441	-5.184185671	-4.744859591	0.000000000
