Local Traces SL in % - Simulacao gerada a partir do modelo de coracao do CircAdapt
Number of Frames 835	 MVO = 0.7144 MVC = 0.2568
FR= XX Left Marker Time=0.000000000 Right Marker Time=0.833333333 ES Time=0.640073941
Time (s) 		      RED    	     BLUE    	  MAGENTA    	    GREEN    	  GLOBAL     	ECG : 
0.000000000		-5.621057505	2.504045603	0.281066621	-0.360026326	-0.798992902	0.000000000
0.000999201		-5.592547112	2.526392763	0.303229677	-0.337880173	-0.775201211	0.000000000
0.001998401		-5.564426988	2.548551584	0.325199414	-0.315929882	-0.751651468	0.000000000
0.002997602		-5.536702791	2.570510437	0.346964716	-0.294186386	-0.728353506	0.000000000
0.003996803		-5.509379886	2.592258197	0.368514950	-0.272660144	-0.705316721	0.000000000
0.004996003		-5.482463385	2.613784137	0.389839872	-0.251361232	-0.682550152	0.000000000
0.005995204		-5.455958103	2.635077989	0.410929676	-0.230299289	-0.660062432	0.000000000
0.006994404		-5.429868548	2.656130019	0.431775075	-0.209483448	-0.637861725	0.000000000
0.007993605		-5.404199103	2.676930656	0.452366934	-0.188922688	-0.615956050	0.000000000
0.008992806		-5.378953722	2.697470923	0.472696694	-0.168625420	-0.594352881	0.000000000
0.009992006		-5.354136099	2.717742221	0.492756159	-0.148599696	-0.573059354	0.000000000
0.010991207		-5.329749952	2.737736299	0.512537468	-0.128853240	-0.552082356	0.000000000
0.011990408		-5.305798296	2.757445138	0.532032981	-0.109393555	-0.531428433	0.000000000
0.012989608		-5.282284346	2.776861247	0.551235572	-0.090227641	-0.511103792	0.000000000
0.013988809		-5.259200692	2.795957302	0.570118754	-0.071381710	-0.491126587	0.000000000
0.014988010		-5.236568845	2.814764298	0.588712940	-0.052825507	-0.471479278	0.000000000
0.015987210		-5.214385109	2.833263506	0.607000025	-0.034576929	-0.452174627	0.000000000
0.016986411		-5.192651395	2.851448368	0.624973775	-0.016642097	-0.433217837	0.000000000
0.017985612		-5.171365917	2.869305878	0.642621657	0.000966618	-0.414617941	0.000000000
0.018984812		-5.150521360	2.886812792	0.659921135	0.018226908	-0.396390131	0.000000000
0.019984013		-5.130140399	2.904005522	0.676907907	0.035174276	-0.378513173	0.000000000
0.020983213		-5.110206131	2.920843549	0.693542568	0.051769665	-0.361012587	0.000000000
0.021982414		-5.090724544	2.937331830	0.709830100	0.068018082	-0.343886133	0.000000000
0.022981615		-5.071697806	2.953468919	0.725769233	0.083918324	-0.327135332	0.000000000
0.023980815		-5.053124612	2.969247156	0.741352625	0.099463160	-0.310765418	0.000000000
0.024980016		-5.035008389	2.984667636	0.756581478	0.114653839	-0.294776359	0.000000000
0.025979217		-5.017345921	2.999721058	0.771446842	0.129481529	-0.279174123	0.000000000
0.026978417		-5.000137559	3.014404771	0.785946254	0.143943839	-0.263960674	0.000000000
0.027977618		-4.983382869	3.028715178	0.800076324	0.158037454	-0.249138478	0.000000000
0.028976819		-4.967081120	3.042648910	0.813833883	0.171759277	-0.234709762	0.000000000
0.029976019		-4.951231309	3.056202706	0.827215862	0.185106310	-0.220676608	0.000000000
0.030975220		-4.935832187	3.069373458	0.840219340	0.198075699	-0.207040922	0.000000000
0.031974420		-4.920882290	3.082158330	0.852841657	0.210664850	-0.193804363	0.000000000
0.032973621		-4.906379874	3.094554731	0.865080388	0.222871400	-0.180968339	0.000000000
0.033972822		-4.892322995	3.106560286	0.876933320	0.234693193	-0.168534049	0.000000000
0.034972022		-4.878709190	3.118173197	0.888398797	0.246128629	-0.156502142	0.000000000
0.035971223		-4.865535940	3.129391657	0.899475151	0.257176093	-0.144873260	0.000000000
0.036970424		-4.852800041	3.140214670	0.910161508	0.267834756	-0.133647277	0.000000000
0.037969624		-4.840497786	3.150641770	0.920457506	0.278104298	-0.122823553	0.000000000
0.038968825		-4.828625216	3.160672758	0.930363043	0.287984655	-0.112401190	0.000000000
0.039968026		-4.817177665	3.170308245	0.939878803	0.297476546	-0.102378517	0.000000000
0.040967226		-4.806149837	3.179549552	0.949006166	0.306581376	-0.092753186	0.000000000
0.041966427		-4.795535764	3.188398761	0.957747252	0.315301286	-0.083522116	0.000000000
0.042965627		-4.785328722	3.196858819	0.966105023	0.323639253	-0.074681407	0.000000000
0.043964828		-4.775521386	3.204933939	0.974083681	0.331599484	-0.066226070	0.000000000
0.044964029		-4.766104997	3.212628001	0.981687096	0.339185855	-0.058151011	0.000000000
0.045963229		-4.757070605	3.219947434	0.988921630	0.346404720	-0.050449205	0.000000000
0.046962430		-4.748408126	3.226899247	0.995794213	0.353262992	-0.043112918	0.000000000
